#Date       Time        gpu   mclk   pclk     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB     MB      %      %      %      %      %      % 
 20231227   17:44:59      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:45:01      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:45:02      0   7300   1882    245     14      0      0      0      0      0      0      0 
 20231227   17:45:03      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:04      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:05      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:06      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:07      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:08      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:09      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:10      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:11      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:12      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:13      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:14      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:15      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:16      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:17      0   7300   1882    255     14      0      0      0      0      0      0      0 
 20231227   17:45:18      0   7500   1882    108     12      0      2      0      0      0      0      0 
