#Date       Time        gpu   mclk   pclk     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB     MB      %      %      %      %      %      % 
 20231227   17:44:26      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:44:27      0    405    210    108     12      0      0      0      0      0      0      0 
 20231227   17:44:28      0   7300   1882    217     14      0      0      0      0      0      0      0 
 20231227   17:44:29      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:30      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:31      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:32      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:33      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:34      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:35      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:36      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:37      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:38      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:39      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:40      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:41      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:42      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:43      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:44      0   7300   1882    273     14      0      0      0      0      0      0      0 
 20231227   17:44:45      0    405    382    108     12      0      0      0      0      0      0      0 
